DATE,MARKET,VENDOR,BAND,Cell Traffic (kbytes),Cell Used PRB,Cell Spectral Efficiency (bps/Hz),UE Traffic (kbytes),UE Active Time (s),UE Tput (kbps),Total cell count,Total Spectrum in MHz
07/22/2017,Philadelphia,ALU,2300,1.2724332415e+11,3.19132282152e+12,1.77207357807,90247554706.4,83813994.938,8614.079763,812,8120
07/22/2017,South Dakota,ALU,2300,2129205749.0,80220760486.9,1.17963686766,1353707291.65,753121.078,14379.7042063,30,300
07/22/2017,Southern OH,ALU,2300,77778465897.0,3.75531578106e+12,0.920513988188,51678091576.3,41053603.6,10070.3640206,886,8860
07/22/2017,St. Louis MO,ALU,2300,95535625265.0,2.74120311717e+12,1.54896503764,64856703218.7,51934654.645,9990.50882876,791,7910
07/22/2017,Utah,ALU,2300,25915341934.0,9.08027282508e+11,1.26845635261,18337568144.4,12339140.52,11889.0408062,251,2510
07/22/2017,Washington,ALU,2300,1.53179683827e+11,4.90561909967e+12,1.38779342822,96517400004.6,90674360.923,8515.5185234,1538,15380
07/22/2017,Washington DC,ALU,2300,1.27900440398e+11,3.79997579056e+12,1.49592111398,89130715425.8,83808685.566,8508.01702223,763,7630
07/22/2017,Wisconsin,ALU,2300,3257924341.0,1.51917902262e+11,0.953124254756,1774714147.84,1043565.662,13605.0022531,68,680
07/22/2017,Wyoming,ALU,2300,5556713518.0,2.63752950488e+11,0.936349886466,3071951637.5,2023315.312,12146.2102097,158,1580
07/29/2017,Arizona,ALU,2300,63557646041.0,2.24361835822e+12,1.25903064491,41010434365.4,29135220.117,11260.7172215,947,9470
07/29/2017,Central Illinois,ALU,2300,240585311.0,23064357670.9,0.463601919527,161649196.032,81881.404,15793.4952881,6,60
07/29/2017,Colorado,ALU,2300,49877407558.0,1.69444528992e+12,1.30825921759,34461528300.5,30921737.654,8915.80639773,497,4970
07/29/2017,Detroit,ALU,2300,26863374393.0,1.39673698136e+12,0.854797837198,16134776711.2,9161031.448,14089.9214703,380,3800
07/29/2017,Harly,ALU,2300,80868088446.0,2.69768191785e+12,1.33230579947,54962376376.3,39087441.904,11249.1119805,777,7770
07/29/2017,Idaho,ALU,2300,3635761941.0,2.74117556788e+11,0.589489493097,2345087283.2,1117861.6,16782.6663566,94,940
07/29/2017,Iowa,ALU,2300,21569763016.0,1.00360557726e+12,0.955212043219,12204335153.2,6294181.495,15511.8948036,563,5630
07/29/2017,Kansas City KS,ALU,2300,1.49387690663e+11,4.16632185577e+12,1.59360057821,1.0757023144e+11,108540791.434,7928.46486702,1174,11740
07/29/2017,Las Vegas,ALU,2300,39075823847.0,1.36310837511e+12,1.27407571826,29512607963.1,42546240.901,5549.27670942,354,3540
07/29/2017,Maryland,ALU,2300,68658121141.0,2.27836304655e+12,1.33932652013,49123650722.8,40517451.593,9699.25773541,484,4840
07/29/2017,Minnesota,ALU,2300,33416062088.0,2.37407055302e+12,0.625574633042,19185141665.8,10462893.763,14669.0902921,982,9820
07/29/2017,Montana,ALU,2300,4922818272.0,2.60388098177e+11,0.840253163381,2673969841.15,1387206.91,15420.741185,111,1110
07/29/2017,NYC East,ALU,2300,1.58233535839e+11,9.63190000665e+12,0.730136482728,1.06634903598e+11,87724713.798,9724.50284362,1907,19070
07/29/2017,NYC Manhattan,ALU,2300,1.45955875331e+11,6.06601223743e+12,1.06938917011,1.08287321137e+11,162114323.519,5343.7509425,999,9990
07/29/2017,NYC West,ALU,2300,1.43647765774e+11,7.41431754895e+12,0.861083316619,96635788743.7,81430750.517,9493.78834213,1633,16330
07/29/2017,Nebraska,ALU,2300,11753262126.0,5.06938998655e+11,1.03043405022,6470930769.92,3324940.068,15569.4373735,356,3560
07/29/2017,New Mexico,ALU,2300,15994564989.0,5.78429224272e+11,1.22896549005,11070445909.0,8224396.734,10768.3967756,209,2090
07/29/2017,North Dakota,ALU,2300,1610410712.0,73849072088.1,0.969190368931,1169929986.05,739737.512,12652.3797111,23,230
07/29/2017,Northern MI,ALU,2300,7213028450.0,1.90322954159e+11,1.68439505176,3617360497.66,2078680.621,13921.755795,83,830
07/29/2017,Northern OH,ALU,2300,60150595587.0,1.82280370475e+12,1.46661968971,37934415028.2,30147946.823,10066.2019211,514,5140
07/29/2017,Oregon,ALU,2300,70374178070.0,2.36419313732e+12,1.32296350843,46890989199.4,32577530.766,11514.9277669,639,6390
07/29/2017,Outstate MI,ALU,2300,28110000877.0,1.36816568324e+12,0.913144794974,16658019256.3,9398747.162,14178.9274415,478,4780
07/29/2017,Philadelphia,ALU,2300,1.21000722197e+11,3.0681183734e+12,1.7528039081,88785682248.7,74984823.648,9472.3895241,815,8150
07/29/2017,South Dakota,ALU,2300,2026913084.0,81003166989.3,1.112117332,1305388528.64,726335.241,14377.8074361,29,290
07/29/2017,Southern OH,ALU,2300,80654380646.0,3.86827172513e+12,0.926677181578,54357929795.6,43359878.574,10029.1664245,901,9010
07/29/2017,St. Louis MO,ALU,2300,94599749642.0,2.75207241674e+12,1.52773353341,65869107535.9,55061278.001,9570.2983915,800,8000
07/29/2017,Utah,ALU,2300,25955635845.0,9.04447406517e+11,1.27545704374,18634546106.4,12397928.806,12024.2962501,258,2580
07/29/2017,Washington,ALU,2300,1.50999653722e+11,4.81397791749e+12,1.39408527334,96661205722.1,90928492.636,8504.3711092,1547,15470
07/29/2017,Washington DC,ALU,2300,1.25378581382e+11,3.79261807533e+12,1.46927037843,88941707229.2,85012677.088,8369.73592888,776,7760
07/29/2017,Wisconsin,ALU,2300,3390929230.0,1.52268676962e+11,0.989750280782,1872766624.77,1056375.568,14182.5818885,65,650
07/29/2017,Wyoming,ALU,2300,5715595992.0,2.73327952409e+11,0.929383498083,3055348727.81,2170405.346,11261.854781,158,1580
08/05/2017,Arizona,ALU,2300,65907903673.0,2.34339198762e+12,1.25000007626,42156655056.9,26895109.848,12539.574754,946,9460
08/05/2017,Central Illinois,ALU,2300,217639757.0,22416225763.3,0.431512342489,134706675.712,79728.251,13516.5815402,6,60
08/05/2017,Colorado,ALU,2300,53643223393.0,1.83298040877e+12,1.30069216807,37093925222.4,45120174.769,6576.91162099,519,5190
08/05/2017,Detroit,ALU,2300,27641763406.0,1.43743550151e+12,0.854662916528,16876445775.9,9531688.602,14164.4961186,387,3870
08/05/2017,Harly,ALU,2300,68196892972.0,2.24611516983e+12,1.34942903271,40226849671.2,30150845.545,10673.4916236,784,7840
08/05/2017,Idaho,ALU,2300,3823602339.0,2.79415317555e+11,0.608191001196,2362440939.52,1109593.138,17032.8446247,94,940
08/05/2017,Iowa,ALU,2300,20289437536.0,9.31955590469e+11,0.9675920061,11383617442.8,5825550.112,15632.6763639,566,5660
08/05/2017,Kansas City KS,ALU,2300,1.24905075534e+11,3.45783504632e+12,1.60543710618,81958078423.0,85755733.573,7645.72349936,1177,11770
08/05/2017,Las Vegas,ALU,2300,40883959183.0,1.39478172018e+12,1.30275929652,30402889485.3,42584293.124,5711.56870385,356,3560
08/05/2017,Maryland,ALU,2300,57687576794.0,1.89480187476e+12,1.35311893877,37098202495.0,30736652.866,9655.75598793,483,4830
08/05/2017,Minnesota,ALU,2300,28091041641.0,1.95733781968e+12,0.637851436295,14863934656.5,8535479.384,13931.4351195,993,9930
08/05/2017,Montana,ALU,2300,4918238778.0,2.72610626392e+11,0.801833710689,2594850866.17,1329270.663,15616.6892923,114,1140
08/05/2017,NYC East,ALU,2300,1.58580744245e+11,9.64320179884e+12,0.730881010745,1.07172482305e+11,89416911.867,9588.56485354,1912,19120
08/05/2017,NYC Manhattan,ALU,2300,1.40226123179e+11,5.93686697265e+12,1.04975775439,1.05371089145e+11,165759144.926,5085.50350893,1006,10060
08/05/2017,NYC West,ALU,2300,1.4681222958e+11,7.45935310852e+12,0.874739120994,99469198923.8,86279739.202,9222.94850158,1643,16430
08/05/2017,Nebraska,ALU,2300,10539697033.0,4.54304475933e+11,1.03109479228,5671675648.0,2986957.546,15190.5088992,354,3540
